date,time,symbol,side,qty,price
2025-08-01,09:10,NFLX,BUY,50,1160
2025-08-01,09:35,TSLA,BUY,200,295
2025-08-01,09:38,TSLA,SELL,50,301
2025-08-01,09:40,NFLX,SELL,120,1155
2025-08-01,09:45,TSLA,SELL,100,300
2025-08-01,10:00,GOOGL,SHORT,50,192
2025-08-01,10:15,AMZN,SHORT,50,218
2025-08-01,10:45,AMZN,COVER,80,214
2025-08-01,11:00,GOOGL,COVER,20,188
2025-08-01,11:00,TSLA,BUY,50,300
2025-08-01,11:30,TSLA,SELL,50,300
2025-08-01,11:30,AAPL,BUY,50,200
2025-08-01,12:00,GOOGL,SHORT,40,195
2025-08-01,13:00,GOOGL,COVER,20,190
2025-08-01,13:00,MSFT,BUY,80,520
2025-08-01,14:00,AAPL,BUY,100,198
2025-08-01,14:00,MSFT,SELL,30,525
2025-08-01,14:30,AAPL,SELL,50,201
2025-08-01,14:30,AAPL,SELL,30,195
2025-08-01,15:00,AAPL,SELL,70,200
2025-08-01,15:30,MSFT,SHORT,60,525
2025-08-01,16:00,MSFT,COVER,60,520
